InvoiceId,InvoiceDate,InvoiceAmount,CustomerId
1,1/7/2019,81.75,1
2,1/7/2019,49.9,2
3,1/7/2019,485.3,3
4,1/7/2019,2.95,4
5,1/7/2019,60,5
6,1/7/2019,67.27,6
7,1/8/2019,99.72,7
8,1/9/2019,19.92,8
9,1/9/2019,17.7,9
10,1/9/2019,20.65,10
11,1/9/2019,95.6,11
12,1/9/2019,64.8,12
13,1/9/2019,139.65,13
14,1/9/2019,44.9,14
15,1/9/2019,51.8,15
16,1/9/2019,19.95,16
17,1/9/2019,111.4,17
18,1/9/2019,5.9,18
19,1/10/2019,129.35,19
20,1/10/2019,51.8,20
21,1/10/2019,369.4,21
22,1/10/2019,94.55,22
23,1/10/2019,27.95,23
24,1/10/2019,23.6,24
25,1/10/2019,109.62,25
26,1/10/2019,69.65,26
27,1/10/2019,224.65,27
28,1/11/2019,112.7,28
29,1/11/2019,229.22,29
30,1/11/2019,155.2,30
31,1/11/2019,19.93,31
32,1/11/2019,279.44,32
33,1/11/2019,62.31,33
34,1/11/2019,26.55,34
35,1/11/2019,22.41,35
36,1/11/2019,43.52,36
37,1/11/2019,442.2,37
38,1/11/2019,164.6,8
39,1/11/2019,338.05,7
40,1/12/2019,14.95,38
41,1/12/2019,308.05,39
42,1/12/2019,109.5,40
43,1/12/2019,199.8,41
44,1/12/2019,164.5,42
45,1/12/2019,104.65,43
46,1/12/2019,38.85,44
47,1/12/2019,25.9,45
48,1/12/2019,158.2,36
49,1/12/2019,119.7,38
50,1/12/2019,22.41,37
51,1/14/2019,2.49,46
52,1/14/2019,219.75,47
53,1/14/2019,77.7,48
54,1/14/2019,2.95,49
55,1/14/2019,125.65,50
56,1/14/2019,462.5,51
57,1/14/2019,61.26,52
58,1/14/2019,238.35,53
59,1/14/2019,181.3,7
60,1/15/2019,52.5,54
61,1/15/2019,26.8,55
62,1/15/2019,51.8,56
63,1/15/2019,20.65,57
64,1/15/2019,14.75,58
65,1/15/2019,84.69,59
66,1/15/2019,2.49,60
67,1/15/2019,51.8,61
68,1/15/2019,83.4,62
69,1/15/2019,184.42,63
70,1/15/2019,170.45,24
71,1/15/2019,89.7,10
72,1/16/2019,11.8,64
73,1/16/2019,119.7,65
74,1/16/2019,587.05,66
75,1/16/2019,159.6,67
76,1/16/2019,20.65,68
77,1/16/2019,470.2,24
78,1/16/2019,56.01,41
79,1/17/2019,8.85,69
80,1/17/2019,197.3,70
81,1/17/2019,27.39,71
82,1/17/2019,214.54,72
83,1/17/2019,524.25,73
84,1/17/2019,64.75,74
85,1/17/2019,389.2,10
86,1/17/2019,37.43,37
87,1/18/2019,114.7,75
88,1/18/2019,124.02,76
89,1/18/2019,77.7,77
90,1/18/2019,345.05,78
91,1/18/2019,28.8,79
92,1/18/2019,257.3,80
93,1/18/2019,20.65,81
94,1/18/2019,26.55,44
95,1/18/2019,51.8,24
96,1/19/2019,99.75,82
97,1/19/2019,261.81,83
98,1/19/2019,12.45,84
99,1/19/2019,159.7,53
100,1/21/2019,2.49,85
101,1/21/2019,25.9,86
102,1/21/2019,116.55,87
103,1/21/2019,46.55,88
104,1/21/2019,35.59,89
105,1/21/2019,42.4,90
106,1/21/2019,171.25,91
107,1/21/2019,119.7,24
108,1/21/2019,103.6,74
109,1/21/2019,314.65,38
110,1/22/2019,811,92
111,1/22/2019,59.7,93
112,1/22/2019,167.7,73
113,1/22/2019,154.45,13
114,1/22/2019,225.87,65
115,1/22/2019,94.67,84
116,1/23/2019,154.65,94
117,1/23/2019,2.95,95
118,1/23/2019,26.55,96
119,1/23/2019,199.6,97
120,1/23/2019,35.4,98
121,1/23/2019,224.25,99
122,1/23/2019,429.45,100
123,1/23/2019,290.45,101
124,1/23/2019,17.7,102
125,1/23/2019,155.3,103
126,1/23/2019,135.5,37
127,1/24/2019,92.31,104
128,1/24/2019,25.17,105
129,1/24/2019,27.65,106
130,1/24/2019,189.51,107
131,1/24/2019,79.8,108
132,1/24/2019,177.64,109
133,1/24/2019,134.55,110
134,1/24/2019,120.6,111
135,1/24/2019,303.25,112
136,1/24/2019,19.9,113
137,1/24/2019,79.6,102
138,1/24/2019,299.7,44
139,1/24/2019,194.55,94
140,1/24/2019,299.7,102
141,1/25/2019,46.47,114
142,1/25/2019,104.65,115
143,1/25/2019,77.7,73
144,1/25/2019,116.05,38
145,1/26/2019,69.65,116
146,1/26/2019,14.29,117
147,1/26/2019,104.65,118
148,1/26/2019,77.7,119
149,1/26/2019,567.95,120
150,1/26/2019,191.3,121
151,1/26/2019,25.9,122
152,1/26/2019,74.85,123
153,1/26/2019,161.35,124
154,1/26/2019,129.81,10
155,1/26/2019,212.19,38
156,1/26/2019,299.7,65
157,1/26/2019,77.7,94
158,1/26/2019,153.5,17
159,1/27/2019,167.7,125
160,1/27/2019,339.2,126
161,1/27/2019,180.25,127
162,1/27/2019,116.1,128
163,1/27/2019,125.4,129
164,1/27/2019,274.38,130
165,1/27/2019,128.33,131
166,1/27/2019,77.7,132
167,1/27/2019,164.45,37
168,1/27/2019,245.3,7
169,1/27/2019,134.35,44
170,1/28/2019,232.05,133
171,1/28/2019,228.15,134
172,1/28/2019,20.84,135
173,1/28/2019,74.75,136
174,1/28/2019,90.65,137
175,1/28/2019,234.15,138
176,1/28/2019,157.03,139
177,1/28/2019,9.96,140
178,1/28/2019,109.7,141
179,1/28/2019,32.37,142
180,1/28/2019,74.75,143
181,1/28/2019,77.7,144
182,1/28/2019,169.1,145
183,1/28/2019,456.95,146
184,1/28/2019,139.75,147
185,1/28/2019,311.66,41
186,1/29/2019,197.3,148
187,1/29/2019,39.8,149
188,1/29/2019,114.25,150
189,1/29/2019,8.85,151
190,1/29/2019,94.7,152
191,1/29/2019,51.8,153
192,1/29/2019,229.25,154
193,1/29/2019,283.3,155
194,1/29/2019,142.15,156
195,1/29/2019,230.45,44
196,1/29/2019,119.7,13
197,1/29/2019,169.4,94
198,1/29/2019,141.5,57
199,1/29/2019,269.55,71
